PCN,ISSUED,LOCATION,CONTRAVENTION,FINE,Last Pay Date,Total Paid,Balance,
LS70128962,20/05/2011,BECKETT ST UPPER CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,16/01/2020,0,0,
LS26159570,20/05/2011,THE MARKETS CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,16/01/2020,0,0,
LS48187387,20/05/2011,THE MARKETS CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,16/01/2020,0,0,
LS60187648,21/05/2011,THE MARKETS CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,16/01/2020,0,0,
LS7012907A,21/05/2011,NORTH PARADE CP - OTLEY,86 BEYOND THE BAY MARKINGS                        ,50,16/01/2020,0,0,
LS48187401,21/05/2011,CIVIC HALL D CP - CITY                                      ,83 WITHOUT DISPLAYING A VALID TICKET,50,16/01/2020,0,0,
LS60187681,21/05/2011,THE MARKETS CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,16/01/2020,0,0,
LS4818749A,23/05/2011,THE MARKETS CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,16/01/2020,0,0,
LS34189293,24/05/2011,BECKETT ST UPPER CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,16/01/2020,0,0,
LS34189340,24/05/2011,BECKETT ST UPPER CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,16/01/2020,0,0,
LS31146851,24/05/2011,THE MARKETS CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,16/01/2020,0,0,
LS60188323,25/05/2011,THE MARKETS CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,16/01/2020,0,0,
LS70129455,25/05/2011,BECKETT ST UPPER CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,16/01/2020,0,0,
LS70129386,25/05/2011,BECKETT ST UPPER CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,16/01/2020,0,0,
LS15099568,26/05/2011,MEADOW LANE CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,16/01/2020,0,0,
LS38191413,26/05/2011,THE MARKETS CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,16/01/2020,0,0,
LS16131076,26/05/2011,THE MARKETS CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,16/01/2020,0,0,
LS62155948,27/05/2011,BECKETT ST UPPER CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,16/01/2020,0,0,
LS55174614,28/05/2011,THE MARKETS CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,16/01/2020,0,0,
LS59142507,28/05/2011,THE MARKETS CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,16/01/2020,0,0,
LS70129750,28/05/2011,NORTH PARADE CP - OTLEY,83 WITHOUT DISPLAYING A VALID TICKET,50,16/01/2020,0,0,
LS1318117A,28/05/2011,THE MARKETS CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,16/01/2020,0,0,
LS28192045,28/05/2011,CIVIC HALL D CP - CITY                                      ,83 WITHOUT DISPLAYING A VALID TICKET,50,16/01/2020,0,0,
LS31147162,28/05/2011,THE MARKETS CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,16/01/2020,0,0,
LS45172940,31/05/2011,HUNSLET LANE CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,16/01/2020,0,0,
LS4517307A,01/06/2011,THE MARKETS CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,16/01/2020,0,0,
LS45173138,01/06/2011,THE MARKETS CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,16/01/2020,0,0,
LS47161683,01/06/2011,PUDSEY CIVIC HALL CP - PUDSEY,82 AFTER EXPIRY IN P+D CAR PARK,50,16/01/2020,0,0,
LS55174807,01/06/2011,HUNSLET LANE CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,16/01/2020,0,0,
LS76059614,01/06/2011,ALBION STREET CP - MORLEY                                   ,87 IN DISABLED BAY WITHOUT BADGE,70,16/01/2020,0,0,
LS62156022,02/06/2011,THE MARKETS CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,16/01/2020,0,0,
LS63150870,03/06/2011,THE MARKETS CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,16/01/2020,0,0,
LS76060205,04/06/2011,THE MARKETS CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,16/01/2020,0,0,
LS76060216,04/06/2011,THE MARKETS CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,16/01/2020,0,0,
LS76060227,04/06/2011,THE MARKETS CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,16/01/2020,0,0,
LS13181599,05/06/2011,CIVIC HALL D CP - CITY                                      ,92 PARKED CAUSING AN OBSTRUCTION                  ,70,16/01/2020,0,0,
LS76060453,06/06/2011,THE MARKETS CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,16/01/2020,0,0,
LS76060497,06/06/2011,THE MARKETS CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,16/01/2020,0,0,
LS76060511,06/06/2011,THE MARKETS CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,16/01/2020,0,0,
LS25221908,07/06/2011,HUNSLET LANE CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,16/01/2020,0,0,
LS36166594,07/06/2011,THE MARKETS CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,16/01/2020,0,0,
LS65172590,07/06/2011,PUDSEY CIVIC HALL CP - PUDSEY,82 AFTER EXPIRY IN P+D CAR PARK,50,16/01/2020,0,0,
LS47162165,08/06/2011,THE MARKETS CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,16/01/2020,0,0,
LS45173524,08/06/2011,THE MARKETS CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,16/01/2020,0,0,
LS56136927,09/06/2011,THE MARKETS CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,16/01/2020,0,0,
LS56136938,09/06/2011,THE MARKETS CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,16/01/2020,0,0,
LS19155048,10/06/2011,THE MARKETS CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,16/01/2020,0,0,
LS46176109,10/06/2011,THE MARKETS CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,16/01/2020,0,0,
LS19155059,10/06/2011,THE MARKETS CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,16/01/2020,0,0,
LS13181908,11/06/2011,THE MARKETS CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,16/01/2020,0,0,
LS19155172,11/06/2011,BECKETT ST UPPER CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,16/01/2020,0,0,
LS70131038,11/06/2011,THE MARKETS CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,16/01/2020,0,0,
LS13181872,11/06/2011,THE MARKETS CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,16/01/2020,0,0,
LS55175785,13/06/2011,THE MARKETS CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,16/01/2020,0,0,
LS55175832,13/06/2011,THE MARKETS CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,16/01/2020,0,0,
LS19155310,13/06/2011,THE MARKETS CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,16/01/2020,0,0,
LS55175719,13/06/2011,THE MARKETS CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,16/01/2020,0,0,
LS55175763,13/06/2011,THE MARKETS CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,16/01/2020,0,0,
LS56137103,13/06/2011,HUNSLET LANE CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,16/01/2020,0,0,
LS23169727,14/06/2011,THE MARKETS CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,16/01/2020,0,0,
LS62157160,15/06/2011,WEST STREET CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,16/01/2020,0,0,
LS70131355,15/06/2011,THE MARKETS CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,16/01/2020,0,0,
LS36167440,16/06/2011,BECKETT ST UPPER CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,16/01/2020,0,0,
LS16132931,16/06/2011,MAIN STREET CP - GARFORTH                                   ,86 BEYOND THE BAY MARKINGS                        ,50,16/01/2020,0,0,
LS48189123,16/06/2011,QUARRY HILL B CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,16/01/2020,0,0,
LS19155693,17/06/2011,THE MARKETS CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,16/01/2020,0,0,
LS56137271,17/06/2011,THE MARKETS CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,16/01/2020,0,0,
LS23170023,17/06/2011,MEADOW LANE CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,16/01/2020,0,0,
LS38192890,17/06/2011,THE MARKETS CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,16/01/2020,0,0,
LS56137307,17/06/2011,THE MARKETS CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,16/01/2020,0,0,
LS32191986,18/06/2011,WEST STREET CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,16/01/2020,0,0,
LS13182580,18/06/2011,MEADOW LANE CP - CITY,87 IN DISABLED BAY WITHOUT BADGE,70,16/01/2020,0,0,
LS51162216,20/06/2011,THE MARKETS CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,16/01/2020,0,0,
LS48189509,21/06/2011,THE MARKETS CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,16/01/2020,0,0,
LS56137420,21/06/2011,WEST STREET CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,16/01/2020,0,0,
LS56137599,22/06/2011,THE MARKETS CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,16/01/2020,0,0,
LS59145990,23/06/2011,THE MARKETS CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,16/01/2020,0,0,
LS16133129,23/06/2011,THE MARKETS CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,16/01/2020,0,0,
LS47163248,23/06/2011,BECKETT ST UPPER CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,16/01/2020,0,0,
LS59146064,23/06/2011,THE MARKETS CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,16/01/2020,0,0,
LS59146111,23/06/2011,THE MARKETS CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,16/01/2020,0,0,
LS71155133,24/06/2011,LEISURE CENTRE CP - PUDSEY                                  ,80 PARKED FOR LONGER THAN THE MAXIMUM PERIOD,50,16/01/2020,0,0,
LS34190656,24/06/2011,THE MARKETS CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,16/01/2020,0,0,
LS44165189,27/06/2011,THE MARKETS CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,16/01/2020,0,0,
LS34190918,29/06/2011,THE MARKETS CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,16/01/2020,0,0,
LS34190984,29/06/2011,THE MARKETS CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,16/01/2020,0,0,
LS34190995,29/06/2011,THE MARKETS CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,16/01/2020,0,0,
LS59146891,29/06/2011,CIVIC HALL D CP - CITY                                      ,82 AFTER EXPIRY IN P+D CAR PARK,50,16/01/2020,0,0,
LS26162622,29/06/2011,MEADOW LANE CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,16/01/2020,0,0,
LS71155508,29/06/2011,THE MARKETS CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,16/01/2020,0,0,
LS55176813,30/06/2011,CIVIC HALL D CP - CITY                                      ,82 AFTER EXPIRY IN P+D CAR PARK,50,16/01/2020,0,0,
LS2522494A,01/07/2011,BURLEY ROAD CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,16/01/2020,0,0,
LS63152446,01/07/2011,QUEENSWAY CP - MORLEY                                       ,86 BEYOND THE BAY MARKINGS                        ,50,16/01/2020,0,0,
LS71155632,01/07/2011,THE MARKETS CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,16/01/2020,0,0,
LS25224972,01/07/2011,BURLEY ROAD CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,16/01/2020,0,0,
LS44165429,01/07/2011,CIVIC HALL D CP - CITY                                      ,83 WITHOUT DISPLAYING A VALID TICKET,50,16/01/2020,0,0,
LS71155643,01/07/2011,THE MARKETS CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,16/01/2020,0,0,
LS31149204,02/07/2011,NORTH PARADE CP - OTLEY,83 WITHOUT DISPLAYING A VALID TICKET,50,16/01/2020,0,0,
LS25225374,02/07/2011,BECKETT ST UPPER CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,16/01/2020,0,0,
LS31149190,02/07/2011,NORTH PARADE CP - OTLEY,83 WITHOUT DISPLAYING A VALID TICKET,50,16/01/2020,0,0,
LS45175654,02/07/2011,THE MARKETS CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,16/01/2020,0,0,
LS36168523,04/07/2011,THE MARKETS CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,16/01/2020,0,0,
LS36168545,04/07/2011,THE MARKETS CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,16/01/2020,0,0,
LS76063076,05/07/2011,JOHN CHARLES SC CP - MIDDLETON,86 BEYOND THE BAY MARKINGS                        ,50,16/01/2020,0,0,
LS57160519,06/07/2011,BARLEY HILL ROAD CP - GARFORTH                              ,87 IN DISABLED BAY WITHOUT BADGE,70,16/01/2020,0,0,
LS13184371,07/07/2011,THE MARKETS CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,16/01/2020,0,0,
LS15102287,07/07/2011,COURTHOUSE STREET CP - OTLEY,82 AFTER EXPIRY IN P+D CAR PARK,50,16/01/2020,0,0,
LS13184462,07/07/2011,THE MARKETS CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,16/01/2020,0,0,
LS28196691,07/07/2011,QUARRY HILL B CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,16/01/2020,0,0,
LS59147770,07/07/2011,BECKETT ST LOWER CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,16/01/2020,0,0,
LS59147861,07/07/2011,BECKETT ST UPPER CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,16/01/2020,0,0,
LS69159936,07/07/2011,QUEENSWAY CP - MORLEY                                       ,87 IN DISABLED BAY WITHOUT BADGE,70,16/01/2020,0,0,
LS13184542,08/07/2011,THE MARKETS CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,16/01/2020,0,0,
LS64157988,08/07/2011,QUARRY HILL B CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,16/01/2020,0,0,
LS34191772,08/07/2011,BECKETT ST UPPER CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,16/01/2020,0,0,
LS51163478,08/07/2011,HUNSLET LANE CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,16/01/2020,0,0,
LS57160676,08/07/2011,NORTH PARADE CP - OTLEY,83 WITHOUT DISPLAYING A VALID TICKET,50,16/01/2020,0,0,
LS28196884,09/07/2011,THE MARKETS CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,16/01/2020,0,0,
LS36169049,09/07/2011,THE MARKETS CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,16/01/2020,0,0,
LS55177339,09/07/2011,NORTH PARADE CP - OTLEY,83 WITHOUT DISPLAYING A VALID TICKET,50,16/01/2020,0,0,
LS28196975,09/07/2011,THE MARKETS CP - CITY,81 IN A RESTRICTED AREA IN A CAR PARK             ,70,16/01/2020,0,0,
LS34191921,11/07/2011,THE MARKETS CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,30/03/2020,0,0,
LS7505679A,11/07/2011,BEECH HILL CP - OTLEY,83 WITHOUT DISPLAYING A VALID TICKET,50,30/03/2020,0,0,
LS34191954,11/07/2011,THE MARKETS CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,30/03/2020,0,0,
LS16134336,12/07/2011,HOLT PARK CP - HOLT PARK                                    ,87 IN DISABLED BAY WITHOUT BADGE,70,30/03/2020,0,0,
LS44166228,12/07/2011,THE MARKETS CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,30/03/2020,0,0,
LS28197275,12/07/2011,MEADOW LANE CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,30/03/2020,0,0,
LS46178363,12/07/2011,THE MARKETS CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,30/03/2020,0,0,
LS40174279,13/07/2011,THE MARKETS CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,30/03/2020,0,0,
LS64158335,13/07/2011,PUDSEY CIVIC HALL CP - PUDSEY,82 AFTER EXPIRY IN P+D CAR PARK,50,30/03/2020,0,0,
LS76063553,13/07/2011,HUNSLET LANE CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,30/03/2020,0,0,
LS55177703,13/07/2011,WEST STREET CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,30/03/2020,0,0,
LS3115000A,14/07/2011,THE MARKETS CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,30/03/2020,0,0,
LS31150101,14/07/2011,THE MARKETS CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,30/03/2020,0,0,
LS31150123,14/07/2011,THE MARKETS CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,30/03/2020,0,0,
LS47165119,15/07/2011,THE MARKETS CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,30/03/2020,0,0,
LS47165130,15/07/2011,THE MARKETS CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,30/03/2020,0,0,
LS50190191,15/07/2011,MEADOW LANE CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,30/03/2020,0,0,
LS28197923,16/07/2011,BEECH HILL CP - OTLEY,83 WITHOUT DISPLAYING A VALID TICKET,50,30/03/2020,0,0,
LS31150178,16/07/2011,THE MARKETS CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,30/03/2020,0,0,
LS63153518,16/07/2011,BECKETT ST UPPER CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,30/03/2020,0,0,
LS16134915,18/07/2011,THE MARKETS CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,30/03/2020,0,0,
LS45176500,18/07/2011,THE MARKETS CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,30/03/2020,0,0,
LS45176533,18/07/2011,THE MARKETS CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,30/03/2020,0,0,
LS89703567,18/07/2011,THE MARKETS CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,30/03/2020,0,0,
LS60193265,19/07/2011,THE MARKETS CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,30/03/2020,0,0,
LS71157026,19/07/2011,MEADOW LANE CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,30/03/2020,0,0,
LS28198278,20/07/2011,THE MARKETS CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,30/03/2020,0,0,
LS40174643,20/07/2011,THE MARKETS CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,30/03/2020,0,0,
LS89803801,20/07/2011,THE MARKETS CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,30/03/2020,0,0,
LS38196315,21/07/2011,BURLEY ROAD CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,30/03/2020,0,0,
LS3819636A,21/07/2011,WEST STREET CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,30/03/2020,0,0,
LS47165935,21/07/2011,HUNSLET LANE CP - CITY,87 IN DISABLED BAY WITHOUT BADGE,70,30/03/2020,0,0,
LS89803812,21/07/2011,QUARRY HILL D CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,30/03/2020,0,0,
LS89803856,21/07/2011,THE MARKETS CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,30/03/2020,0,0,
LS45176759,21/07/2011,THE MARKETS CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,30/03/2020,0,0,
LS58166328,21/07/2011,MEADOW LANE CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,30/03/2020,0,0,
LS71157354,22/07/2011,THE MARKETS CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,30/03/2020,0,0,
LS13186173,23/07/2011,WEST STREET CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,30/03/2020,0,0,
LS47166144,23/07/2011,MEADOW LANE CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,30/03/2020,0,0,
LS75057872,23/07/2011,THE MARKETS CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,30/03/2020,0,0,
LS32195229,25/07/2011,THE MARKETS CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,30/03/2020,0,0,
LS50190996,25/07/2011,THE MARKETS CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,30/03/2020,0,0,
LS32195207,25/07/2011,THE MARKETS CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,30/03/2020,0,0,
LS48191012,25/07/2011,PUDSEY CIVIC HALL CP - PUDSEY,82 AFTER EXPIRY IN P+D CAR PARK,50,30/03/2020,0,0,
LS50190952,25/07/2011,THE MARKETS CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,30/03/2020,0,0,
LS47166519,26/07/2011,THE MARKETS CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,30/03/2020,0,0,
LS59150185,26/07/2011,THE MARKETS CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,30/03/2020,0,0,
LS59150221,26/07/2011,THE MARKETS CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,30/03/2020,0,0,
LS59150254,26/07/2011,THE MARKETS CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,30/03/2020,0,0,
LS45177194,27/07/2011,THE MARKETS CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,30/03/2020,0,0,
LS45177274,27/07/2011,THE MARKETS CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,30/03/2020,0,0,
LS50191274,27/07/2011,THE MARKETS CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,30/03/2020,0,0,
LS50191310,27/07/2011,THE MARKETS CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,30/03/2020,0,0,
LS13186683,28/07/2011,THE MARKETS CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,30/03/2020,0,0,
LS13186672,28/07/2011,THE MARKETS CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,30/03/2020,0,0,
LS13186730,28/07/2011,THE MARKETS CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,30/03/2020,0,0,
LS25227868,28/07/2011,THE MARKETS CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,30/03/2020,0,0,
LS10074355,29/07/2011,WEST STREET CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,30/03/2020,0,0,
LS10074366,29/07/2011,WEST STREET CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,30/03/2020,0,0,
LS13186923,29/07/2011,THE MARKETS CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,30/03/2020,0,0,
LS19160070,29/07/2011,BECKETT ST UPPER CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,30/03/2020,0,0,
LS57161624,29/07/2011,THE MARKETS CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,30/03/2020,0,0,
LS5613962A,29/07/2011,THE MARKETS CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,30/03/2020,0,0,
LS76065093,30/07/2011,THE MARKETS CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,30/03/2020,0,0,
LS76065140,30/07/2011,MEADOW LANE CP - CITY,87 IN DISABLED BAY WITHOUT BADGE,70,30/03/2020,0,0,
LS1510379A,30/07/2011,THE MARKETS CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,30/03/2020,0,0,
LS38197340,30/07/2011,THE MARKETS CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,30/03/2020,0,0,
LS19160310,01/08/2011,THE MARKETS CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,30/03/2020,0,0,
LS19160376,01/08/2011,THE MARKETS CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,30/03/2020,0,0,
LS4017487A,01/08/2011,THE MARKETS CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,30/03/2020,0,0,
LS48191486,01/08/2011,MEADOW LANE CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,30/03/2020,0,0,
LS19160285,01/08/2011,THE MARKETS CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,30/03/2020,0,0,
LS44167730,01/08/2011,BECKETT ST UPPER CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,30/03/2020,0,0,
LS59150957,01/08/2011,THE MARKETS CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,30/03/2020,0,0,
LS48191690,02/08/2011,THE MARKETS CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,30/03/2020,0,0,
LS55179276,02/08/2011,THE MARKETS CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,30/03/2020,0,0,
LS26164876,02/08/2011,WEST STREET CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,30/03/2020,0,0,
LS60194494,03/08/2011,WEST STREET CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,30/03/2020,0,0,
LS16136386,03/08/2011,MEADOW LANE CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,30/03/2020,0,0,
LS4517730A,03/08/2011,THE MARKETS CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,30/03/2020,0,0,
LS28199496,04/08/2011,THE MARKETS CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,30/03/2020,0,0,
LS28199510,04/08/2011,THE MARKETS CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,30/03/2020,0,0,
LS32196017,04/08/2011,THE MARKETS CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,30/03/2020,0,0,
LS32196006,04/08/2011,THE MARKETS CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,30/03/2020,0,0,
LS23174829,05/08/2011,THE MARKETS CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,30/03/2020,0,0,
LS47166869,05/08/2011,QUEENSWAY CP - MORLEY                                       ,87 IN DISABLED BAY WITHOUT BADGE,70,30/03/2020,0,0,
LS6315450A,05/08/2011,HUNSLET LANE CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,30/03/2020,0,0,
LS23174840,05/08/2011,THE MARKETS CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,30/03/2020,0,0,
LS56140083,05/08/2011,WEST STREET CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,30/03/2020,0,0,
